	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
546	Áo khoác denim thời trang nam trẻ trung	Nước ngoài	1600875006	1609771212	8896206	False	None	False	7	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	49310000000	-1	49310000000	-1	49310000000	0	None	0	0	0	False	False	9	0	0	0
547	Set Áo Hoodies Có Nón Dài Tay + Quần Dài Ống Bó Thời Trang Nam	Nước ngoài	1608810480	1609771212	960732	False	None	False	42	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	27750600000	-1	45487900000	-1	27750600000	0	None	0	1	0	False	False	9	0	0	0
548	Áo Hoodies Có Nón Dài Tay In Hình 3d Thời Trang Nam	Nước ngoài	1600089824	1609771212	9681388	False	38%	False	36	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	34760000000	56080000000	34760000000	56080000000	34760000000	56080000000	None	0	0	0	False	False	5	0	0	0
549	[HÀNG MỚI VỀ] _ Áo gió cao cấp thời trang nam One 3 phom 40-85kg -Re111 🌺	Hà Nội	1608813821	1609771212	957391	False	45%	False	16	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	13156100000	23920100000	13156100000	23920100000	13156100000	23920100000	None	0	0	0	False	False	9	0	0	0
550	Áo bò, Áo khoác jean nam in hình Give Me A thời trang nam 2020	Bình Dương	1594089111	1609771212	15682101	False	10%	False	3	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	23400000000	26070000000	23400000000	26070000000	23400000000	26070000000	None	5	0	0	False	False	4	0	0	0
551	NEW Áo Khoác Bomber Khóa Kéo Thời Trang Nam	Nước ngoài	1599035489	1609771212	10735723	False	50%	False	24	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	33000000000	66000000000	33000000000	66000000000	33000000000	66000000000	None	0	0	0	False	False	8	0	0	0
552	Áo Khoác Bò Jean / Denim Jacket Thời Trang Nam Basic phong cách Hàn Quốc-AB5	Hà Nội	1608630753	1609771212	1140459	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	76900000000	-1	76900000000	-1	76900000000	0	None	0	0	0	False	False	6	0	0	0
553	Áo Khoác Len Giữ Ấm Thời Trang Nam	Nước ngoài	1575797510	1609771212	33973702	False	None	False	42	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	14490000000	-1	20760000000	-1	14490000000	0	None	0	0	0	False	False	9	0	0	0
554	Áo Khoác Phao Giữ Ấm Thời Trang Nam	Nước ngoài	1608781804	1609771212	989408	False	None	False	14	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	77921700000	-1	77921700000	-1	77921700000	0	None	0	0	0	False	False	9	0	0	0
555	Áo Khoác Có Nón Khóa Kéo Thời Trang Nam	Nước ngoài	1609226722	1609771212	544490	False	None	False	25	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	30600000000	-1	30600000000	-1	30600000000	0	None	0	0	0	False	False	9	0	0	0
556	Áo Khoác Cotton Dày Phối Lớp Ngoài Thời Trang Nam Cá Tính	Nước ngoài	1608890871	1609771212	880341	False	None	False	30	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	40230000000	-1	60050000000	-1	40230000000	0	None	0	0	0	False	False	7	0	0	0
557	Áo Nỉ Tay Dài In Chữ Trẻ Trung Thời Trang Nam	Nước ngoài	1607674040	1609771212	2097172	False	50%	False	24	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	37550000000	75100000000	37550000000	75100000000	37550000000	75100000000	None	0	0	0	False	False	4	0	0	0
558	Áo Khoác Denim Dáng Rộng Thời Trang Nam Cá Tính 389	Nước ngoài	1605802240	1609771212	3968972	False	38%	False	16	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	33580000000	53580000000	51290000000	83190000000	33580000000	53580000000	None	0	0	0	False	False	9	0	0	0
559	Áo hoodie có nón dài tay họa tiết hình 3d thời trang nam	Nước ngoài	1605944012	1609771212	3827200	False	50%	False	20	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	25300000000	50350000000	25300000000	50350000000	25300000000	50350000000	None	0	1	0	False	False	3	0	0	0
560	Áo Khoác Denim Phối Lông Thời Trang Nam	Nước ngoài	1604779041	1609771212	4992171	False	1%	False	36	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	31960000000	32310000000	50200000000	50730000000	31960000000	32310000000	None	0	0	0	False	False	9	0	0	0
561	Áo Khoác Da Pu Thời Trang Nam Cá Tính	Nước ngoài	1608782722	1609771212	988490	False	None	False	28	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	80148000000	-1	80148000000	-1	80148000000	0	None	0	0	0	False	True	5	0	0	0
562	Áo Khoác Phao Không Tay Thời Trang Nam	Nước ngoài	1603173014	1609771212	6598198	False	None	False	42	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	57400000000	-1	61280000000	-1	57400000000	0	None	0	0	0	False	False	9	0	0	0
