category	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao ngan tay khong co	Hà Nội	1582425286.0	1609949428.0	27524142.0	True	41%	False	15.0	False	5.0	3.0	0.0	0.0	0.0	0.0	None	None	8800000000.0	15000000000.0	8800000000.0	15000000000.0	8800000000.0	15000000000.0	None	70.0	24.0	3.0	False	False	9.0	1.0	113.0
Ao ngan tay khong co	Hà Nội	1609327795.0	1609949428.0	621633.0	False	None	False	5.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	-1.0	9900000000.0	-1.0	9900000000.0	0.0	None	0.0	3.0	0.0	False	False	1.0	0.0	0.0
Ao ngan tay khong co	Hà Nội	1533726191.0	1609949428.0	76223237.0	False	50%	False	3.0	False	4.868421	36.0	1.0	0.0	0.0	1.0	None	None	1700000000.0	3400000000.0	1700000000.0	3400000000.0	1700000000.0	3400000000.0	None	547.0	12.0	38.0	False	True	2.0	0.0	417.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1562681205.0	1609949428.0	47268223.0	True	45%	False	12.0	False	4.888889	8.0	1.0	0.0	0.0	0.0	None	None	9900000000.0	18000000000.0	9900000000.0	18000000000.0	9900000000.0	18000000000.0	None	1287.0	49.0	9.0	True	True	4.0	1.0	40.0
Ao ngan tay khong co	Hà Nội	1607403332.0	1609949428.0	2546096.0	False	None	False	5.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	8690000000.0	-1.0	8690000000.0	-1.0	8690000000.0	0.0	None	0.0	0.0	0.0	False	False	1.0	0.0	0.0
Ao ngan tay khong co	Hà Nội	1597195266.0	1609949428.0	12754162.0	False	None	False	14.0	False	5.0	2.0	0.0	0.0	0.0	0.0	None	None	17900000000.0	-1.0	17900000000.0	-1.0	17900000000.0	0.0	None	0.0	0.0	2.0	False	False	6.0	0.0	66.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1605257114.0	1609949428.0	4692314.0	False	40%	False	16.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	14940000000.0	24900000000.0	16140000000.0	26900000000.0	14940000000.0	24900000000.0	None	0.0	0.0	0.0	False	False	1.0	0.0	0.0
Ao ngan tay khong co	Hà Nội	1588576461.0	1609949428.0	21372967.0	False	None	False	1.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	7480000000.0	-1.0	7480000000.0	-1.0	7480000000.0	0.0	None	0.0	0.0	0.0	False	False	1.0	0.0	0.0
Ao ngan tay khong co	Hà Nội	1584608444.0	1609949428.0	25340984.0	True	50%	False	9.0	False	5.0	10.0	0.0	0.0	0.0	0.0	None	None	5500000000.0	10900000000.0	5500000000.0	10900000000.0	5500000000.0	10900000000.0	None	7.0	82.0	10.0	True	True	8.0	0.0	38.0
Ao ngan tay khong co	Hà Nội	1541986242.0	1609949428.0	67963186.0	False	None	False	8.0	False	5.0	1.0	0.0	0.0	0.0	0.0	None	None	5000000000.0	-1.0	5000000000.0	-1.0	5000000000.0	0.0	None	1.0	5.0	1.0	False	True	9.0	0.0	1.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1553085241.0	1609949428.0	56864187.0	True	22%	False	16.0	False	5.0	12.0	0.0	0.0	0.0	0.0	None	None	10900000000.0	14000000000.0	10900000000.0	14000000000.0	10900000000.0	14000000000.0	None	1061.0	88.0	12.0	True	True	5.0	1.0	25.0
Ao ngan tay khong co	Nước ngoài	1602906629.0	1609949428.0	7042799.0	False	50%	False	30.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	12800000000.0	25600000000.0	12800000000.0	25600000000.0	12800000000.0	25600000000.0	None	0.0	6.0	0.0	False	False	9.0	0.0	0.0
