name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Quần dài phong cách hóa trang nhân vật Dragon Ball kiểu dáng thể thao thời trang nam 1409	Nước ngoài	False	15%	False	0	False	4.0	[1, 0, 0, 0, 1, 0]	None	None	25500000000	30000000000	25500000000	30000000000	25500000000	30000000000	None	3	4	1	False	False	7	0	0	1
Quần denim ống thẳng thời trang nam S-3Xl	Nước ngoài	False	30%	False	7	False	3.666667	[6, 1, 0, 2, 0, 3]	None	None	18599900000	26571400000	18599900000	26571400000	18599900000	26571400000	None	75	159	6	False	False	9	0	0	22
Quần Ngắn Lưng Thun Thời Trang Nam	Nước ngoài	False	50%	False	7	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	8300000000	16600000000	8300000000	16600000000	8300000000	16600000000	None	0	0	0	False	False	9	0	0	2
Quần kaki nam caro phong cách trẻ trung Hàn Quốc thời trang nam MAN DO QKN023	Hà Nội	True	None	False	4	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	29000000000	-1	29000000000	-1	29000000000	0	None	6	105	1	False	True	4	1	0	3
Quần bò thời trang công sở nam thương hiệu thời trang nam nổi tiếng Musland	Hà Nội	False	None	False	6	True	5.0	[1, 0, 0, 0, 0, 1]	None	None	49900000000	-1	49900000000	-1	49900000000	0	None	1	45	1	False	False	7	0	0	1
Quần Jogger thời trang nam chất liệu vải umi One 55 One shop	Hà Nội	True	22%	False	3	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	13900000000	17900000000	13900000000	17900000000	13900000000	17900000000	None	1	51	2	False	False	4	0	0	4
Quần lót tam giác eo thấp co giãn thời trang nam gợi cảm	Nước ngoài	False	36%	False	0	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	3700000000	5750000000	3700000000	5750000000	3700000000	5750000000	None	1	24	2	False	True	6	0	0	7
NEW 💯 Sale Quần Bò thời trang nam- quần bò DSQ cao cấp . M08 :	Hà Nội	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	18339700000	-1	18339700000	-1	18339700000	0	None	0	0	0	False	False	1	0	0	0
Quần lót Boxer xuyên thấu thời trang nam quyến rũ	Nước ngoài	False	50%	False	3	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	5300000000	10600000000	5400000000	10700000000	5300000000	10600000000	None	0	16	1	False	False	9	0	0	1
Quần lót lọt khe thời trang nam Ad302	Nước ngoài	True	48%	False	4	False	3.666667	[3, 1, 0, 0, 0, 2]	None	None	4679900000	8999900000	4679900000	8999900000	4679900000	8999900000	None	2	31	3	False	False	8	0	0	4
Combo 5 quần sịp chéo thông hơi  - Thời Trang Nam	TP. Hồ Chí Minh	True	41%	False	3	False	5.0	[11, 0, 0, 0, 0, 11]	None	None	8925000000	15100000000	8925000000	15100000000	8925000000	15100000000	None	2	66	11	False	False	9	1	2	19
Quần thời trang nam, chất liệu vải 3D lạ mắt Mã Q31	Hà Nội	True	44%	False	3	False	5.0	[5, 0, 0, 0, 0, 5]	None	None	8900000000	15900000000	8900000000	15900000000	8900000000	15900000000	None	0	17	5	False	False	9	0	0	5
Quần Jogger Thời Trang Nam Siêu Hót Mới Mã 004	Hà Nội	True	None	False	3	False	5.0	[4, 0, 0, 0, 0, 4]	None	None	22000000000	-1	22000000000	-1	22000000000	0	None	14	1	4	False	False	5	0	0	4
Quần Dài Lưng Thun Thời Trang Nam	Nước ngoài	False	40%	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	17400000000	29000000000	17400000000	29000000000	17400000000	29000000000	None	3	46	0	False	False	9	0	0	0
Quần thời trang nam, quần thể thao nam Mã One010 One shop	Hà Nội	True	47%	False	3	False	4.857143	[7, 0, 0, 0, 1, 6]	None	None	6900000000	12900000000	6900000000	12900000000	6900000000	12900000000	None	4	45	7	False	True	8	0	0	14
⭐ 🚀 Sale | NGON BỔ RẺ | | ĐẲNG CẤP |_ Quần Bò thời trang nam- quần bò DSQ cao cấp -- Siêu Đẹp .. . ⭐	TP. Hồ Chí Minh	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	14421600000	-1	14421600000	-1	14421600000	0	None	0	0	0	False	False	1	0	0	0
Quần Short Nam Tây Âu Cao Cấp Mới Nhất - Thời Trang Nam Cao Cấp Hàng Đẹp	TP. Hồ Chí Minh	False	43%	False	2	False	4.454545	[11, 1, 0, 1, 0, 9]	None	None	14500000000	25500000000	14500000000	25500000000	14500000000	25500000000	None	12	10	11	False	False	6	0	0	20
Quần lót nam vải xuyên thấu thời trang nam quyến rũ	Nước ngoài	False	35%	False	0	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	3000000000	4650000000	3400000000	5216700000	3000000000	4650000000	None	10	35	3	False	True	9	0	0	29
Quần short thời trang nam Q26	Hà Nội	True	47%	False	4	False	5.0	[10, 0, 0, 0, 0, 10]	None	None	6900000000	12900000000	6900000000	12900000000	6900000000	12900000000	None	1	41	10	False	False	9	0	0	30
Quần đùi ép vân 3D chất liệu vải gió thời trang nam One15	Hà Nội	True	47%	False	3	False	5.0	[5, 0, 0, 0, 0, 5]	None	None	6900000000	12900000000	6900000000	12900000000	6900000000	12900000000	None	4	40	5	False	False	9	0	0	10
Quần Ngắn Lưng Thun Thời Trang Nam	Nước ngoài	True	50%	False	4	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	13000000000	26000000000	13000000000	26000000000	13000000000	26000000000	None	3	152	2	False	False	9	0	1	8
QUẦN LÓT COTTON THỜI TRANG NAM CO GIÃN	Hà Nội	False	44%	False	1	False	4.833333	[12, 0, 0, 1, 0, 11]	None	None	1000000000	1800000000	1000000000	1800000000	1000000000	1800000000	None	210	47	12	False	False	6	1	2	64
